Vasos	Gastos
55	336.2
35	213.61
43	258.52
46	289.63
50	291.6
58	348.99
58	336.46
36	225.36
55	330.22
52	323.41
60	363.86
42	255.14
35	215.39
50	297.61
39	232.8
57	331.8
39	228.97
58	346.4
54	309.63
44	270.76
31	185.38
47	273.51
40	251.41
33	200.59
49	291.51
48	287.52
52	315.39
31	190.3
34	199.33
42	250.92
37	205.87
30	182.05
37	229.53
36	219.71
40	239.66
46	276.78
30	186.76
49	297.38
60	353.21
55	332.82
45	271.64
55	356.01
45	260.14
35	204.77
31	193.36
49	319.27
36	221.95
38	219.66
43	244.79
56	336.98
42	249.37
54	339.42
35	201.32
36	193.63
49	305.05
41	256.1
37	214.81
40	231.82
34	201.75
34	208.7
59	351.67
60	365.02
47	292.84
52	303.77
57	330.26
43	267.69
40	232.93
59	358.13
39	239.67
46	271.17
53	314.58
50	295.13
57	338.4
40	253.89
44	270.29
45	289.85
50	300.76
43	265.52
33	215.59
44	264.18
43	253.1
34	196.45
36	226.02
31	176.37
35	213.99
48	277.87
38	231.24
31	194.73
60	368.45
56	333.37
51	294.78
49	287.48
35	207.03
57	344.19
54	338.63
33	195.68
41	273.74
43	376.17
49	250.86
